team,season,season_year,matches_played,wins,toss_wins,win_rate
Royal Challengers Bangalore,2007/08,2007,14,4,5,28.57142857142857
Royal Challengers Bangalore,2009,2009,16,9,8,56.25
Royal Challengers Bangalore,2009/10,2009,16,8,6,50.0
Royal Challengers Bangalore,2011,2011,16,10,6,62.5
Royal Challengers Bangalore,2012,2012,15,8,6,53.333333333333336
Royal Challengers Bangalore,2013,2013,16,8,5,50.0
Royal Challengers Bangalore,2014,2014,14,5,9,35.714285714285715
Royal Challengers Bangalore,2015,2015,16,8,10,50.0
Royal Challengers Bangalore,2016,2016,16,9,6,56.25
Royal Challengers Bangalore,2017,2017,13,3,9,23.076923076923077
Royal Challengers Bangalore,2018,2018,14,6,7,42.857142857142854
Royal Challengers Bangalore,2019,2019,14,5,4,35.714285714285715
Royal Challengers Bangalore,2020/21,2020,15,6,6,40.0
Royal Challengers Bangalore,2021,2021,15,9,10,60.0
Royal Challengers Bangalore,2022,2022,16,9,8,56.25
Royal Challengers Bangalore,2023,2023,14,7,8,50.0
Royal Challengers Bengaluru,2024,2024,15,7,8,46.666666666666664
Royal Challengers Bengaluru,2025,2025,15,11,7,73.33333333333333
Royal Challengers Bengaluru,2026,2026,9,6,4,66.66666666666666
Sunrisers Hyderabad,2013,2013,17,9,7,52.94117647058824
Sunrisers Hyderabad,2014,2014,14,6,7,42.857142857142854
Sunrisers Hyderabad,2015,2015,14,7,6,50.0
Sunrisers Hyderabad,2016,2016,17,11,10,64.70588235294117
Sunrisers Hyderabad,2017,2017,14,8,5,57.14285714285714
Sunrisers Hyderabad,2018,2018,17,10,7,58.82352941176471
Sunrisers Hyderabad,2019,2019,15,6,4,40.0
Sunrisers Hyderabad,2020/21,2020,16,8,11,50.0
Sunrisers Hyderabad,2021,2021,14,3,7,21.428571428571427
Sunrisers Hyderabad,2022,2022,14,6,10,42.857142857142854
Sunrisers Hyderabad,2023,2023,14,4,7,28.57142857142857
Sunrisers Hyderabad,2024,2024,16,9,7,56.25
Sunrisers Hyderabad,2025,2025,14,6,7,42.857142857142854
Sunrisers Hyderabad,2026,2026,11,7,2,63.63636363636363
